movie_id, movie title , release date , video release date , IMDb URL , unknown , Action , Adventure , Animation , Children's , Comedy , Crime , Documentary , Drama , Fantasy , Film-Noir , Horror , Musical , Mystery , Romance , Sci-Fi , Thriller , War , Western , description, tagline, studio 
1,Toy Story,01-Jan-1995,,http://us.imdb.com/M/title-exact?Toy%20Story%20,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woody the cowboy is young Andy\u2019s favorite toy. Yet this changes when Andy get the new super toy Buzz Lightyear for his birthday. Now that Woody is no longer number one he plans his revenge on Buzz. Toy Story is a milestone in film history for being the first feature film to use entirely computer animation.",The adventure takes off!,Pixar Animation Studios
2,GoldenEye,01-Jan-1995,,http://us.imdb.com/M/title-exact?GoldenEye%20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"James Bond must unmask the mysterious head of the Janus Syndicate and prevent his one time ally - Alec Trevelyan Agent 006 - from utilising the GoldenEye weapons system to inflict devastating revenge on Britain. --- The 17th film from the legendary James Bond series and the first starring Pierce Brosnan.","When the world is the target and the threat is real, you can still depend on one man.",Danjag S.A.
3,Four Rooms,01-Jan-1995,,http://us.imdb.com/M/title-exact?Four%20Rooms%20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Compliments of the house.,A Band Apart
4,Get Shorty,01-Jan-1995,,http://us.imdb.com/M/title-exact?Get%20Shorty%20,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Chili Palmer (Travolta) is a Miami loan shark who's sent to Los Angeles to collect on a gambling debt from film producer Harry Zimm (Hackman). Chili soon discovers that loansharking was the perfect training ground for making movies...though you have to be ruthless to make it in Hollywood","The mob is tough, but it\u2019s nothing like show business.",Jersey Films
5,Copycat,01-Jan-1995,,http://us.imdb.com/M/title-exact?Copycat%20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.",,Regency Enterprises
6,Shanghai Triad (Yao a yao yao dao waipo qiao),01-Jan-1995,,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Regency Enterprises
7,Twelve Monkeys,01-Jan-1995,,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,Regency Enterprises
8,Babe,01-Jan-1995,,http://us.imdb.com/M/title-exact?Babe%20,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.  ",A little pig goes a long way.,
9,Dead Man Walking,01-Jan-1995,,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing partial of Sister Helen Prejean.",,Polygram Filmed Entertainment
10,Richard III,22-Jan-1996,,http://us.imdb.com/M/title-exact?Richard%20III%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,Polygram Filmed Entertainment
